Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
08/07/2017,386,439,13.44,193,214,30.37,579
04/21/2017,354,422,16.11,115,133,39.85,469
02/26/2018,634,706,21.10,321,353,28.90,955
06/26/2016,136,148,0.00,44,54,51.85,180
06/28/2017,367,417,18.70,232,253,36.36,599
08/21/2017,300,342,15.20,158,185,51.89,458
07/20/2017,351,403,18.11,180,209,38.76,531
02/10/2018,239,269,29.00,107,114,25.44,346
04/12/2016,384,430,4.42,158,198,44.44,542
09/25/2014,203,282,49.29,,,,
05/09/2016,325,383,2.35,126,155,50.97,451
06/19/2014,229,301,48.17,,,,
08/20/2018,615,688,25.15,269,308,25.65,884
09/27/2016,371,417,0.24,164,185,45.41,535
06/03/2015,325,359,12.53,,,,
11/10/2017,306,334,20.06,154,178,30.90,460
03/17/2017,294,331,14.80,110,122,37.70,404
04/23/2017,153,162,21.60,75,81,32.10,228
08/06/2015,436,467,4.07,,,,
12/28/2017,317,365,13.97,131,138,26.09,448
06/09/2015,334,408,11.27,,,,
07/03/2017,269,299,14.05,131,140,31.43,400
01/14/2018,210,251,22.31,106,120,25.00,316
11/08/2017,442,498,17.67,281,328,29.88,723
12/17/2017,126,141,24.82,80,87,28.74,206
08/18/2017,297,349,14.90,132,144,38.19,429
07/06/2014,75,81,33.33,,,,
01/30/2018,495,559,16.28,295,342,29.53,790
01/03/2015,45,49,63.27,,,,
03/07/2015,108,117,0.00,,,,
12/05/2017,472,543,23.57,334,399,23.81,806
10/27/2015,457,552,8.15,,,,
02/10/2015,206,236,50.42,,,,
01/22/2017,163,195,16.92,48,58,37.93,211
09/12/2017,421,486,18.72,409,446,36.32,830
05/24/2015,100,107,10.28,,,,
05/01/2017,392,439,13.67,151,168,35.12,543
01/11/2018,417,492,16.87,228,253,28.46,645
10/25/2014,73,112,37.50,,,,
09/12/2015,105,118,5.93,,,,
12/06/2017,434,493,20.69,490,556,15.65,924
07/09/2018,651,745,31.41,406,452,22.12,1057
08/24/2017,316,360,15.28,190,215,33.95,506
07/05/2017,370,435,12.18,206,239,33.47,576
12/13/2015,100,106,6.60,,,,
05/14/2017,116,146,16.44,54,62,32.26,170
10/29/2014,152,187,43.32,,,,
03/15/2017,355,431,10.67,157,188,37.77,512
05/13/2016,277,324,4.32,75,86,47.67,352
06/21/2017,393,442,22.40,159,183,36.61,552
02/02/2015,217,266,48.12,,,,
08/22/2017,398,428,14.49,205,226,42.48,603
04/16/2017,133,156,19.87,46,51,49.02,179
04/01/2017,195,256,8.98,64,82,39.02,259
11/26/2017,209,237,20.68,92,99,25.25,301
05/04/2017,353,396,12.88,126,145,42.07,479
12/14/2016,303,335,0.90,114,130,46.15,417
03/09/2015,269,328,3.66,,,,
08/16/2015,257,264,4.17,,,,
01/19/2017,347,393,9.16,126,144,42.36,473
12/21/2014,50,60,61.67,,,,
07/26/2017,321,367,14.71,183,201,45.27,504
11/21/2015,95,107,3.74,,,,
03/26/2017,118,132,10.61,73,89,42.70,191
04/07/2017,302,347,13.83,119,136,36.76,421
07/24/2014,151,182,43.96,,,,
12/05/2014,125,159,42.77,,,,
06/30/2018,201,222,33.33,124,133,20.30,325
06/02/2017,297,349,10.60,138,164,30.49,435
04/13/2015,464,527,17.84,,,,
10/05/2017,410,475,14.53,194,240,29.58,604
05/26/2017,253,287,6.62,119,138,45.65,372
12/29/2017,263,300,18.33,105,122,30.33,368
06/03/2017,114,138,9.42,57,70,34.29,171
06/25/2017,109,116,17.24,53,54,31.48,162
11/03/2016,357,399,0.00,149,186,40.32,506
04/19/2017,385,464,16.38,189,233,42.06,574
03/02/2017,403,461,6.72,136,153,37.25,539
06/14/2017,452,514,21.01,196,226,39.82,648
12/31/2016,81,83,3.61,15,17,47.06,96
07/15/2015,398,433,5.77,,,,
06/05/2017,375,435,13.79,149,168,44.64,524
05/17/2017,344,397,12.59,176,199,41.71,520
02/16/2018,406,466,22.96,227,244,31.56,633
